,album,artist,trackNumber,id,name,uri,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,isHit
1151,For The Throne (Music Inspired by the HBO Series Game of Thrones),Game of Thrones,2.0,4cbdPT6uaBOgOQe3fLMofl,Power is Power (feat. The Weeknd & Travis Scott),spotify:track:4cbdPT6uaBOgOQe3fLMofl,2019-04-26,0.00413,0.507,211266.0,0.644,0.0,0.0,4.0,0.217,-7.485,1.0,68.0,0.0641,179.913,4.0,0.172,1.0
1152,FATHER OF 4,Offset,12.0,59ywHNwwchG4nZJMLyxSzd,Clout (feat. Cardi B),spotify:track:59ywHNwwchG4nZJMLyxSzd,2019-02-22,0.228,0.919,205803.0,0.622,1.0,4.24e-06,1.0,0.122,-7.384,1.0,73.0,0.0997,140.022,4.0,0.424,1.0
1155,"Not Waving, But Drowning",Loyle Carner,9.0,6dEe0H4vjEyy2ukczkB25o,Loose Ends,spotify:track:6dEe0H4vjEyy2ukczkB25o,2019-04-19,0.166,0.79,256198.0,0.675,1.0,1.36e-05,11.0,0.103,-6.952,0.0,63.0,0.319,90.961,4.0,0.363,1.0
1156,Jenny of Oldstones (Game of Thrones),Florence + The Machine,1.0,1u0THw5xaGd7sYzJEh48Lt,Jenny of Oldstones (Game of Thrones),spotify:track:1u0THw5xaGd7sYzJEh48Lt,2019-04-22,0.931,0.27,188638.0,0.195,0.0,9.73e-06,1.0,0.0949,-10.653,0.0,62.0,0.0797,46.489,4.0,0.171,1.0
1157,HOMECOMING: THE LIVE ALBUM,Beyoncé,39.0,7LikBkHerFGZ58QHVOKp1t,Before I Let Go - Homecoming Live Bonus Track,spotify:track:7LikBkHerFGZ58QHVOKp1t,2019-04-17,0.0686,0.713,240776.0,0.842,0.0,0.0,6.0,0.341,-5.424,0.0,59.0,0.0984,102.968,4.0,0.435,1.0
1158,Lemonade,Beyoncé,10.0,7aBxcRw77817BrkdPChAGY,Freedom (feat. Kendrick Lamar),spotify:track:7aBxcRw77817BrkdPChAGY,2016-04-23,0.0376,0.437,289760.0,0.803,0.0,0.0,2.0,0.683,-6.412,1.0,65.0,0.305,84.378,4.0,0.406,1.0
1159,Madame X (Deluxe),Madonna,1.0,6mfu6jyFgvnXeTPQrYNs8d,Medellín (with Maluma),spotify:track:6mfu6jyFgvnXeTPQrYNs8d,2019-06-14,0.0596,0.814,298164.0,0.683,0.0,1.92e-05,1.0,0.671,-7.091,1.0,60.0,0.304,91.963,4.0,0.473,1.0
1160,Slide (feat. Blueface & Lil Tjay),French Montana,1.0,40Zb4FZ6nS1Hj8RVfaLkCV,Slide (feat. Blueface & Lil Tjay),spotify:track:40Zb4FZ6nS1Hj8RVfaLkCV,2019-04-16,0.093,0.532,186344.0,0.704,1.0,0.0,5.0,0.184,-3.895,0.0,60.0,0.26,96.004,4.0,0.591,1.0
1165,TIM,Avicii,3.0,2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),spotify:track:2x0RZdkZcD8QRI53XT4GI5,2019-06-06,0.272,0.802,157202.0,0.645,0.0,0.0,5.0,0.119,-6.181,0.0,77.0,0.0715,100.001,4.0,0.376,1.0
1166,MAP OF THE SOUL : PERSONA,BTS,2.0,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),spotify:track:5KawlOMHjWeUjQtnuRs22c,2019-04-12,0.0923,0.645,229773.0,0.862,0.0,0.0,11.0,0.192,-4.757,0.0,84.0,0.0965,119.991,4.0,0.798,1.0
